path,label
"data\plant_village\Pepper,_bell___healthy\02a7d2e5-9169-4856-9683-d4fa9894e012___JR_HL 8002.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2233.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2748.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2735.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2278.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Late_blight\2485b2a9-a492-4a45-bb4b-bb63edefb7ef___GHLB2 Leaf 9084.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\03a0f11e-9d47-49c4-ba45-773b8aa9f2e1___GHLB2 Leaf 8767.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\d8856c76-c822-408c-9113-e1eadedb5cba___RS_Late.B 5491.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\28462e1b-741c-4949-884f-e5c35375dab4___JR_B.Spot 3111.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___healthy\624219d0-919e-4fd2-9bc7-0550a4d7466a___JR_HL 5867.JPG","Pepper,_bell___healthy"
data\plant_village\Potato___Late_blight\77c271bd-0798-4336-8bea-f2a80e8e8906___RS_LB 3290.JPG,Potato___Late_blight
"data\plant_village\Pepper,_bell___healthy\36a22116-062b-462c-9fed-37e5d2e4bc8b___JR_HL 8338.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2064.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Leaf_Mold\b7b92cf5-cdc9-4f6b-a844-b5a1d0042230___Crnl_L.Mold 6790.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\31e8eab6-d639-4055-a2ff-432955ef263b___RS_HL 9753.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\c225f3a3-270a-4ae9-a44d-b35c12db7e46___JR_HL 8110.JPG","Pepper,_bell___healthy"
data\plant_village\Potato___Late_blight\b4adb8c4-2cea-4027-b0fd-528406b14c86___RS_LB 4066.JPG,Potato___Late_blight
data\plant_village\Potato___Early_blight\2c0e712a-fb21-44b6-bbe1-7c67cec7b965___RS_Early.B 7084.JPG,Potato___Early_blight
data\plant_village\Potato___Late_blight\36d2885d-0bc7-4346-8a13-383e1533a68c___RS_LB 5098.JPG,Potato___Late_blight
data\plant_village\Potato___Late_blight\38d82b6e-16ec-4ac6-b42f-29ff524b4e43___RS_LB 5269.JPG,Potato___Late_blight
data\plant_village\Tomato___Leaf_Mold\f3b8f9e3-6c47-4797-9da6-d8b09e19048c___Crnl_L.Mold 9023.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Leaf_Mold\802b8083-7628-4974-8d38-ffe2d82ad62f___Crnl_L.Mold 8997.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Early_blight\9ebf9d7d-0cfe-44f5-9126-89c70d38321a___RS_Early.B 8986.JPG,Potato___Early_blight
data\plant_village\Tomato___Late_blight\a41982b4-98ca-40de-a386-96e865a3dd21___RS_Late.B 6138.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\e927308b-cd4a-4ff5-9654-218a6030e4a1___GHLB2 Leaf 8725.JPG,Tomato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2391.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\69a348e0-b426-42bd-ba09-a8bb067430e5___RS_HL 0016.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1815.JPG,Corn_(maize)___Common_rust_
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2725.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Leaf_Mold\e1af66f2-f7a8-4ae8-8f79-f9b8e8508d58___Crnl_L.Mold 8697.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Late_blight\63dfc6c7-3521-4a3d-a279-7ec8065e8e71___RS_Late.B 5400.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\1bbdce5c-a65c-4ddc-81b7-6f80e6254734___JR_HL 8387.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Early_blight\79b737a7-eca5-4eb9-b30e-dd3e85640e55___RS_Erly.B 9492.JPG,Tomato___Early_blight
data\plant_village\Tomato___Leaf_Mold\41510736-fe3f-4ad7-888d-2b527f63672d___Crnl_L.Mold 8780.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Late_blight\a6b94272-9bb5-495e-bce4-2622d2ea34f5___GHLB Leaf 25.2 Day 12.JPG,Tomato___Late_blight
data\plant_village\Potato___Early_blight\737c2343-228f-4155-b984-13ae0da44745___RS_Early.B 6828.JPG,Potato___Early_blight
data\plant_village\Tomato___Late_blight\51c47d39-74a9-46d4-be22-05b9c5a16eae___RS_Late.B 5557.JPG,Tomato___Late_blight
data\plant_village\Potato___Late_blight\525c5249-eccb-4c23-b5b7-e9d103857432___RS_LB 4077.JPG,Potato___Late_blight
data\plant_village\Potato___Late_blight\b5190917-8638-44bf-b16a-8004d2b6a58f___RS_LB 5241.JPG,Potato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\3bf80a4f-7a2b-4cdf-a93f-dfa12ddb4128___NREC_B.Spot 9233.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Early_blight\30542417-544f-4bd5-9fa6-bdeb844c11a4___RS_Erly.B 6454.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\e91bd240-ee50-4ec3-aeff-a8e760a94fbe___NREC_B.Spot 1809.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___healthy\6a8b21cc-35c6-4e5e-8f9d-a4a3591cc665___RS_HL 9961.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\3c02c8e5-b648-40ad-b119-0d9f66fc2b6c___JR_HL 8146.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\13da19c9-4e58-4315-8607-1bf0e33a0cb7___JR_HL 8104.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\82ff4b81-612a-4d2b-819e-a45353fa0379___JR_HL 7980.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\273f3e74-dbdc-40bc-8507-3bdd3ce24134___RS_HL 0149.JPG,Tomato___healthy
data\plant_village\Tomato___Early_blight\6c3feee9-23a8-46c4-8ded-5b0ef2e49ff5___RS_Erly.B 9370.JPG,Tomato___Early_blight
data\plant_village\Potato___Late_blight\fc748621-bd56-4012-a617-9e30df58ecfc___RS_LB 4402.JPG,Potato___Late_blight
data\plant_village\Tomato___healthy\9268e1da-3fc4-49b1-8fcb-3f0d8957114a___GH_HL Leaf 277.1.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\20d823a4-0be3-4b8a-acdc-6efd1236e7f0___GH_HL Leaf 254.2.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\aadb9f92-d885-4a69-a498-437b1edeab90___RS_HL 9959.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\5876e77a-8598-418c-bae2-b7492c8e46bd___RS_HL 9859.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\c2c75d71-71ea-43c4-b70d-7bc16e8230ab___GHLB2 Leaf 104.JPG,Tomato___Late_blight
data\plant_village\Potato___Early_blight\16a6f216-6d2a-48fe-b8bc-ff385c96d0d3___RS_Early.B 7220.JPG,Potato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\3342ddb9-c0b2-44c1-90eb-035e207a5c8a___JR_B.Spot 3372.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___healthy\e1517f9b-6bab-415b-b8f5-1f52dd544b2d___RS_HL 0203.JPG,Tomato___healthy
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2562.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\271be296-4c0b-4817-a44b-cc9611d3f519___GH_HL Leaf 182.1.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\e90ac690-4fbd-4ded-94f2-af7373479164___JR_B.Spot 8931.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Potato___Late_blight\f27d1c83-25e9-4ab8-8970-3ddfd2a4c6fc___RS_LB 3230.JPG,Potato___Late_blight
data\plant_village\Tomato___Leaf_Mold\7011fa6f-fba9-466e-a6d1-439370a4a37b___Crnl_L.Mold 6588.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Late_blight\37f580bd-7070-4cb0-b4ab-53b78ffc96ae___RS_Late.B 7109.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\4af641e9-7960-4c73-a32c-6373d1f341d0___GH_HL Leaf 489.JPG,Tomato___healthy
data\plant_village\Tomato___Leaf_Mold\3e6cdf52-1ecf-49a3-bc77-9cd3abb7f901___Crnl_L.Mold 8755.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Late_blight\0c73c79f-a384-4729-83c7-72c9b04da20c___GHLB2 Leaf 8927.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\2956235c-12ff-403f-be91-60868a42ad3e___RS_HL 9849.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\476e6aa3-ad1e-4f86-abea-c37dfb3f8df9___RS_HL 0522.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\a617c469-1174-43ab-910f-0c31a09dd0be___RS_Late.B 6085.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\6fc5b781-6757-459f-af96-09a67dbcb2bc___RS_HL 0607.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\feda8fd2-1d18-443e-a7d9-15bd6bf8ce66___RS_HL 0332.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\99ef61dd-a84c-4dd5-9b51-106baf167e40___JR_HL 7959.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1610.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Late_blight\eb1ee57d-0468-4a6c-941d-342cb60ea600___RS_Late.B 5420.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\80817b48-d9dc-4b29-b6ac-1f7bb58e3d00___RS_Late.B 4833.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\717efedc-6fcb-4509-895f-369d82161acf___RS_HL 0184.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\ee26dd7d-3a4e-44c1-af1a-34dfdaa3d585___GHLB_PS Leaf 1.2 Day 7.jpg,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\cf7130f7-50b1-4dce-81ed-841302e5f71d___Crnl_L.Mold 7072.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\9dcb8870-47cb-4816-bb88-a435b5844cf6___GH_HL Leaf 207.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\346a8afc-772b-4d9d-a4ad-e1aaec6227bc___JR_HL 8730.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\53dfd9b5-4486-48c6-96c7-08cf93e0aff2___GHLB2 Leaf 9022.JPG,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\c6a98e7b-610d-462e-895e-f415dcc0fcfb___Crnl_L.Mold 8869.JPG,Tomato___Leaf_Mold
"data\plant_village\Pepper,_bell___healthy\147582b1-0d36-4409-8810-1fd5d4304388___JR_HL 5977.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Leaf_Mold\b7a7692a-e43f-4d18-9926-da574595121d___Crnl_L.Mold 9134.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Early_blight\7ace85c1-a488-4df2-8162-b73c17032099___RS_Early.B 7541.JPG,Potato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\4617631e-a75a-4cd0-a1f5-c06ed41a182a___JR_B.Spot 3281.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Leaf_Mold\7f3398ef-a359-4ec4-b295-998c2851dea3___Crnl_L.Mold 6585.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Late_blight\542c1489-0040-4867-acb3-82f73249e2f8___RS_LB 4592.JPG,Potato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1840.JPG,Corn_(maize)___Common_rust_
data\plant_village\Potato___Early_blight\336e5156-8947-46a7-a6fb-e993255d9091___RS_Early.B 8085.JPG,Potato___Early_blight
data\plant_village\Tomato___Late_blight\d8eb0541-a9f1-423b-8e71-24a031f19530___GHLB2 Leaf 134.1.JPG,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\3aa896a7-f25b-43b7-a319-0c5c5b8184c7___Crnl_L.Mold 6753.JPG,Tomato___Leaf_Mold
"data\plant_village\Pepper,_bell___Bacterial_spot\560d432a-7524-4482-8b49-1e64767da58b___JR_B.Spot 8831.JPG","Pepper,_bell___Bacterial_spot"
"data\plant_village\Pepper,_bell___healthy\a403fb35-6ab4-4e5e-88a6-254a443a74d9___JR_HL 8492.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Leaf_Mold\2aa365ee-c396-47e3-bf04-aad9d18f470f___Crnl_L.Mold 6655.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___healthy\e969c25d-8cc4-4730-a65b-330cd4d38c9a___GH_HL Leaf 427.JPG,Tomato___healthy
data\plant_village\Tomato___Early_blight\b7b39e7d-16ca-4b55-9b3a-9bd68b746055___RS_Erly.B 7386.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\48cbd826-6822-4bd9-8bb4-6595db85a3f2___RS_HL 9783.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\791d2730-66b2-418b-abe0-548208783e44___RS_HL 0589.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\84a2db83-35aa-48cb-8d75-d8f9e3a5c0b3___JR_HL 8361.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\16b43113-cc8c-4082-a88f-648b79036e49___GHLB_PS Leaf 23.4 Day 13.jpg,Tomato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1807.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___healthy\8a4cf703-385a-4c50-9ce2-a751ae6334e1___RS_HL 9963.JPG,Tomato___healthy
data\plant_village\Tomato___Leaf_Mold\32ea8308-bcd3-4dcc-bd3a-f2a454f8ab4d___Crnl_L.Mold 9021.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Early_blight\49ecf1fe-0000-49e8-a042-fb6c9bac38c9___RS_Early.B 8940.JPG,Potato___Early_blight
data\plant_village\Tomato___Early_blight\e63371a7-2fb1-4446-9fb2-6d679485d2b0___RS_Erly.B 8415.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\75a64b98-63dd-4ef1-907f-09bdeb3a89dc___JR_B.Spot 3228.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\d55910c3-3530-4bde-94a7-6748f5fadfb4___RS_Late.B 7161.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\0cd17aff-13d8-439a-ac08-dae1aea55edb___RS_Erly.B 7828.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\5e046b07-5da5-4cfd-a6f1-bb942eeef5f9___RS_Late.B 6216.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\f3cb1c60-4aae-4f2d-ae59-6654296a969b___JR_HL 8399.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1814.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Early_blight\a2b13360-65ce-4302-8bec-50bdc1b9789d___RS_Erly.B 9446.JPG,Tomato___Early_blight
data\plant_village\Tomato___Late_blight\f73231ab-afd2-4d01-acd2-7ba229349de6___RS_Late.B 6969.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\65561d5c-c914-4cd0-90c5-e5bf47c8855b___JR_HL 8371.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\25080b1c-6c0f-4b11-bb31-b5cfb2429395___GH_HL Leaf 238.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\0dc24e61-c636-49e4-9a3d-3aa9a0efb429___GHLB2ES Leaf 69.JPG,Tomato___Late_blight
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 1886.JPG,Corn_(maize)___Common_rust_
"data\plant_village\Pepper,_bell___healthy\6d4e398b-a925-4397-9f38-39efef5a2916___JR_HL 8240.JPG","Pepper,_bell___healthy"
data\plant_village\Corn_(maize)___Common_rust_\RS_Rust 2623.JPG,Corn_(maize)___Common_rust_
data\plant_village\Tomato___Early_blight\5bd6338a-0f10-457b-a7bd-69f2ee7c6504___RS_Erly.B 9534.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\c2c1758f-3576-4e8a-9853-5f11ac4d20d6___GH_HL Leaf 316.1.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\2353e9af-9267-4262-840e-1eb109fff56c___RS_Late.B 5135.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\47c2ad4e-4eca-4597-9784-c3d99444bf29___JR_HL 8450.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Late_blight\1aa88c5b-384f-43cf-8046-0d32d26a1133___GHLB Leaf 24 Day 12.JPG,Tomato___Late_blight
data\plant_village\Tomato___Early_blight\9eec6625-b337-403b-b93c-e809f4e0b8c4___RS_Erly.B 7681.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___healthy\529dc793-fa77-4aab-90af-1c61539f9aee___JR_HL 8429.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\1663be64-8704-420b-8f9e-eb6265029f50___JR_HL 7846.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___Early_blight\6fbefe16-4635-4a03-b245-65594ded39cf___RS_Erly.B 7654.JPG,Tomato___Early_blight
data\plant_village\Tomato___Leaf_Mold\1b35b99c-c7c0-4f2c-975e-148e4b6e18b3___Crnl_L.Mold 8820.JPG,Tomato___Leaf_Mold
data\plant_village\Tomato___Early_blight\ac57ab70-6d8c-4065-8bab-3a88b5239aea___RS_Erly.B 7408.JPG,Tomato___Early_blight
data\plant_village\Tomato___Early_blight\f26a0950-0a68-4850-8945-a8aca58da4fa___RS_Erly.B 7505.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\c9bc09dd-7a19-46b6-ac5a-d857d50f0e5c___RS_HL 0484.JPG,Tomato___healthy
data\plant_village\Tomato___Early_blight\5adb20df-006b-4a5d-a1c4-c8284eee9e20___RS_Erly.B 9484.JPG,Tomato___Early_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\3d6a3d51-8a9f-42ff-b4bf-299778c3e0a8___JR_B.Spot 3184.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___healthy\3005a6ed-8ede-4bc5-ab3c-a54f87c45716___GH_HL Leaf 353.1.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___Bacterial_spot\cfcbe58e-1fee-4156-b375-1b4550718470___JR_B.Spot 3284.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\12d62ed2-a145-4400-824d-3e4d5f64418a___RS_Late.B 6586.JPG,Tomato___Late_blight
data\plant_village\Tomato___healthy\f7069452-9405-45a6-bfb3-f21ea42b9b02___RS_HL 9966.JPG,Tomato___healthy
"data\plant_village\Pepper,_bell___healthy\95e9a8bc-0e29-4afc-b563-9940a633bab5___JR_HL 7933.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___healthy\62e9114f-1382-48c5-a829-ac7527e5f10f___JR_HL 7993.JPG","Pepper,_bell___healthy"
data\plant_village\Tomato___healthy\8940094d-3432-4690-b2b7-9a5996a82f86___RS_HL 0426.JPG,Tomato___healthy
data\plant_village\Tomato___Late_blight\6dbfb834-5654-4526-8014-2b33ef976892___RS_Late.B 6172.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___Bacterial_spot\8465e92e-0f86-4792-be92-5f5642e8b61b___NREC_B.Spot 1898.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Early_blight\fae08468-fe96-4604-9b86-bfe4c4f06999___RS_Erly.B 9530.JPG,Tomato___Early_blight
data\plant_village\Tomato___healthy\1fa569d8-45ba-4633-b66d-3fdb07ed523e___RS_HL 0533.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\bad3b814-de59-4c37-8f47-00ed153f7e4f___RS_HL 0214.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\4f5dde42-a6ac-4886-8b9e-a944568ace95___RS_HL 0080.JPG,Tomato___healthy
data\plant_village\Tomato___healthy\2d9352d7-2509-40a1-be35-01404448266c___RS_HL 9805.JPG,Tomato___healthy
data\plant_village\Potato___Late_blight\9f5acd9c-13b2-4246-a938-77774ba89318___RS_LB 3153.JPG,Potato___Late_blight
data\plant_village\Tomato___Leaf_Mold\86bcc70f-66dd-40ec-8bf5-d260f58cb25d___Crnl_L.Mold 7004.JPG,Tomato___Leaf_Mold
data\plant_village\Potato___Late_blight\9caba61f-ea63-4ea5-9d85-1f22b6a1a006___RS_LB 4451.JPG,Potato___Late_blight
data\plant_village\Tomato___Late_blight\26a758e3-7804-4240-b1da-b6b6691355ca___RS_Late.B 4951.JPG,Tomato___Late_blight
data\plant_village\Tomato___Late_blight\9a4627a2-053d-443b-9135-7c1a913b63c4___GHLB Leaf 25.1 Day 12.JPG,Tomato___Late_blight
"data\plant_village\Pepper,_bell___healthy\fe0d5adf-1935-45a9-b2ff-37b00d7421f8___JR_HL 7737.JPG","Pepper,_bell___healthy"
"data\plant_village\Pepper,_bell___Bacterial_spot\691dd132-7f59-4494-873c-a9dc69331c60___JR_B.Spot 3390.JPG","Pepper,_bell___Bacterial_spot"
data\plant_village\Tomato___Late_blight\e798b45b-9267-4cc7-a459-808f9944fd49___RS_Late.B 5003.JPG,Tomato___Late_blight
data\plant_village\Tomato___Leaf_Mold\7107f26c-71de-4158-a361-068d5611d046___Crnl_L.Mold 6600.JPG,Tomato___Leaf_Mold
